cycle,run,start,busy,done,error,saturation,state,norm_state,sum_busy,sum_done,sqrt_busy,sqrt_done,div_busy,div_done,apply_busy,apply_done,sum_index,apply_index
105,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x065,0x000
106,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x066,0x000
107,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x067,0x000
108,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x068,0x000
109,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x069,0x000
110,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x06a,0x000
111,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x06b,0x000
112,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x06c,0x000
113,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x06d,0x000
114,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x06e,0x000
115,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x06f,0x000
116,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x070,0x000
117,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x071,0x000
118,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x072,0x000
119,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x073,0x000
120,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x074,0x000
121,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x075,0x000
122,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x076,0x000
123,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x077,0x000
124,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x078,0x000
125,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x079,0x000
126,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x07a,0x000
127,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0x07b,0x000
