cycle,req_valid,req_ready,req_accept,req_kv_head,req_position,req_dim,rsp_valid,rsp_ready,rsp_accept,rsp_data,score_valid,score_ready,score_accept,score_q_head,score_kv_head,score_position,score_raw,score_scaled,score_last,k_request_count,k_response_count,score_count
75,0,0,0,0,0,13,0,1,0,0x000082,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,14,13,0
76,0,0,0,0,0,13,0,1,0,0x000082,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,14,13,0
77,0,0,0,0,0,13,1,1,1,0xffce80,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,14,13,0
78,1,1,1,0,0,14,0,0,0,0xffce80,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,14,14,0
79,0,0,0,0,0,14,0,1,0,0xffce80,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,15,14,0
80,0,0,0,0,0,14,0,1,0,0xffce80,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,15,14,0
81,0,0,0,0,0,14,1,1,1,0x000119,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,15,14,0
82,1,1,1,0,0,15,0,0,0,0x000119,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,15,15,0
83,0,0,0,0,0,15,0,1,0,0x000119,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,16,15,0
84,0,0,0,0,0,15,0,1,0,0x000119,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,16,15,0
85,0,0,0,0,0,15,0,1,0,0x000119,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,16,15,0
86,0,0,0,0,0,15,1,1,1,0xfffaa8,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,16,15,0
87,1,1,1,0,0,16,0,0,0,0xfffaa8,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,16,16,0
88,0,0,0,0,0,16,0,1,0,0xfffaa8,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,17,16,0
89,0,0,0,0,0,16,0,1,0,0xfffaa8,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,17,16,0
90,0,0,0,0,0,16,1,1,1,0x000f0e,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,17,16,0
91,1,1,1,0,0,17,0,0,0,0x000f0e,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,17,17,0
92,0,0,0,0,0,17,0,1,0,0x000f0e,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,18,17,0
93,0,0,0,0,0,17,0,1,0,0x000f0e,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,18,17,0
94,0,0,0,0,0,17,1,1,1,0xfff8b5,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,18,17,0
95,1,1,1,0,0,18,0,0,0,0xfff8b5,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,18,18,0
96,0,0,0,0,0,18,0,1,0,0xfff8b5,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,19,18,0
97,0,0,0,0,0,18,0,1,0,0xfff8b5,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,19,18,0
98,0,0,0,0,0,18,0,1,0,0xfff8b5,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,19,18,0
99,0,0,0,0,0,18,0,1,0,0xfff8b5,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,19,18,0
100,0,0,0,0,0,18,0,1,0,0xfff8b5,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,19,18,0
101,0,0,0,0,0,18,1,1,1,0xfff6e6,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,19,18,0
102,1,1,1,0,0,19,0,0,0,0xfff6e6,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,19,19,0
103,0,0,0,0,0,19,0,1,0,0xfff6e6,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,20,19,0
104,0,0,0,0,0,19,0,1,0,0xfff6e6,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,20,19,0
105,0,0,0,0,0,19,1,1,1,0xffeb42,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,20,19,0
106,1,1,1,0,0,20,0,0,0,0xffeb42,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,20,20,0
107,0,0,0,0,0,20,0,1,0,0xffeb42,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,21,20,0
108,0,0,0,0,0,20,0,1,0,0xffeb42,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,21,20,0
109,0,0,0,0,0,20,0,1,0,0xffeb42,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,21,20,0
110,0,0,0,0,0,20,1,1,1,0x000ec9,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,0,21,20,0
111,1,0,0,0,0,21,0,0,0,0x000ec9,0,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0,21,21,0
